"Season","Week","SeasonType","StartDate","StartTimeTBD","Completed","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","HomeLineScores","HomePostgameWinProbability","HomePregameElo","HomePostgameElo","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints","AwayLineScores","AwayPostgameWinProbability","AwayPregameElo","AwayPostgameElo","ExcitementIndex","Highlights","Notes"
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","150","Duke","fbs","ACC","45","3,7,14,21","0.9597823023796082","1526","1526","2210","Elon","fcs","CAA","17","0,10,0,7","0.040217697620391846","","","5.767314867159874","",""
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","2181","Drake","fcs","Pioneer","41","14,10,7,10","0.999786376953125","","","389","Upper Iowa University","ii","Great Lakes","7","0,0,7,0","0.000213623046875","","","2.945056763997765","",""
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","142","Missouri","fbs","SEC","61","9,17,14,21","0.9923890829086304","1640","1640","2110","Central Arkansas","fcs","UAC","6","0,0,0,6","0.007610917091369629","","","3.2619476923306743","",""
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","197","Oklahoma State","fbs","Big 12","27","14,3,3,7","0.8100014328956604","1334","1334","2630","UT Martin","fcs","Big South-OVC","7","7,0,0,0","0.1899985671043396","","","3.472374103395647","",""
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","2277","Houston Christian","fcs","Southland","69","14,6,28,21","1","","","124386","Little Rock","","","0","0,0,0,0","0","","","2.526594074777805","",""
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","2825","Quincy","ii","Great Lakes","38","10,7,7,14","","","","3066","Concordia University St Paul","ii","Northern Sun","7","0,0,0,7","","","","","",""
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","2535","Samford","fcs","Southern","3","0,0,0,3","0.1454416960477829","","","2698","West Georgia","fcs","UAC","34","10,0,7,17","0.8545583039522171","","","3.412002605674839","",""
"2025","1","regular","2025-08-28T23:30:00.000Z","false","true","559","University of Mary","ii","Northern Sun","28","7,7,7,7","","","","565","Midland Lutheran College","","","22","0,0,9,13","","","","","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2214","Emporia State University","ii","Mid America","27","10,14,3,0","","","","568","Minot State","ii","Northern Sun","7","0,0,0,7","","","","","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2231","Fort Hays State","ii","Mid America","7","0,7,0,0","","","","2025","Angelo State","ii","Lone Star","28","7,7,7,7","","","","","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2851","Winona State","ii","Northern Sun","7","0,7,0,0","","","","134","Minnesota Duluth","ii","Northern Sun","35","14,7,7,7","","","","","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2069","Black Hills State","ii","Rocky Mountain","21","0,14,7,0","","","","2894","Sioux Falls","ii","Northern Sun","27","13,7,7,0","","","","","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","248","Houston","fbs","Big 12","27","7,10,7,3","1","1375","1375","2617","Stephen F. Austin","fcs","Southland","0","0,0,0,0","0","","","3.3544950535553952","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2466","Northwestern State","fcs","Southland","20","13,0,0,7","0.753602147102356","","","2016","Alcorn State","fcs","SWAC","10","0,0,10,0","0.24639785289764404","","","4.406877479072377","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2570","CSU Pueblo","ii","Rocky Mountain","43","8,14,14,7","","","","613","South Dakota Mines","ii","Rocky Mountain","0","0,0,0,0","","","","","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","135","Minnesota","fbs","Big Ten","23","0,10,3,10","0.9927180409431458","1616","1625","2084","Buffalo","fbs","Mid-American","10","0,3,7,0","0.007281959056854248","1416","1407","4.44321876439467","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2714","Western Colorado","ii","Rocky Mountain","45","14,7,14,10","","","","2704","West Texas A&M","ii","Lone Star","28","7,14,7,0","","","","","",""
"2025","1","regular","2025-08-29T00:00:00.000Z","false","true","2201","Eastern New Mexico","ii","Lone Star","28","","","","","2424","New Mexico Highlands","ii","Rocky Mountain","34","","","","","","",""
"2025","1","regular","2025-08-29T00:30:00.000Z","false","true","5","UAB","fbs","American Athletic","52","10,7,21,14","0.622718095779419","1319","1319","2011","Alabama State","fcs","SWAC","42","7,14,7,14","0.37728190422058105","","","7.242758388206213","",""
"2025","1","regular","2025-08-29T01:00:00.000Z","false","true","275","Wisconsin","fbs","Big Ten","17","3,0,7,7","1","1536","1573","193","Miami (OH)","fbs","Mid-American","0","0,0,0,0","0","1528","1491","3.94006770879842","",""
"2025","1","regular","2025-08-29T01:00:00.000Z","false","true","2132","Cincinnati","fbs","Big 12","17","3,0,7,7","0.6352569460868835","1475","1477","158","Nebraska","fbs","Big Ten","20","0,13,0,7","0.36474305391311646","1524","1522","6.207148038057158","",""
"2025","1","regular","2025-08-29T02:00:00.000Z","false","true","21","San Diego State","fbs","Mountain West","42","14,6,8,14","0.9745745062828064","1318","1318","2619","Stony Brook","fcs","CAA","0","0,0,0,0","0.025425493717193604","","","3.150955628954011","",""
"2025","1","regular","2025-08-29T22:00:00.000Z","false","true","349","Army","fbs","American Athletic","27","7,10,7,0,3,0","0.6962294578552246","1607","1607","2627","Tarleton State","fcs","UAC","30","3,7,7,7,3,3","0.3037705421447754","","","6.9127413278628165","",""
"2025","1","regular","2025-08-29T22:00:00.000Z","false","true","227","Rhode Island","fcs","CAA","31","7,7,3,14","0.8288765549659729","","","2097","Campbell","fcs","CAA","20","7,10,3,0","0.1711234450340271","","","6.360519529223957","",""
"2025","1","regular","2025-08-29T23:00:00.000Z","false","true","110242","West Florida","ii","Gulf South","48","21,10,10,7","","","","2331","Lenoir-Rhyne","ii","South Atlantic","21","0,7,14,0","","","","","",""
"2025","1","regular","2025-08-29T23:00:00.000Z","false","true","2429","Charlotte","fbs","American Athletic","11","3,0,0,8","0.042695220559835434","1254","1221","2026","App State","fbs","Sun Belt","34","0,17,10,7","0.9573047794401646","1428","1461","3.6672300484451488","","Duke’s Mayo Classic"
"2025","1","regular","2025-08-29T23:00:00.000Z","false","true","154","Wake Forest","fbs","ACC","10","7,0,3,0","0.7367027401924133","1397","1394","338","Kennesaw State","fbs","Conference USA","9","6,0,3,0","0.26329725980758667","1266","1269","6.22130557202866","",""
"2025","1","regular","2025-08-29T23:00:00.000Z","false","true","2229","Florida International","fbs","Conference USA","42","7,21,7,7","0.952778697013855","1372","1372","2065","Bethune-Cookman","fcs","SWAC","9","3,3,0,3","0.04722130298614502","","","3.5516503900016345","",""
"2025","1","regular","2025-08-29T23:00:00.000Z","false","true","2142","Colgate","fcs","Patriot","39","14,10,7,8","0.37398236989974976","","","2405","Monmouth","fcs","CAA","42","0,7,14,21","0.6260176301002502","","","6.352487419957231","",""
"2025","1","regular","2025-08-29T23:00:00.000Z","false","true","127","Michigan State","fbs","Big Ten","23","7,14,2,0","1","1368","1403","2711","Western Michigan","fbs","Mid-American","6","0,0,0,6","0","1345","1310","3.7661354973196874","",""
"2025","1","regular","2025-08-29T23:00:00.000Z","false","true","2368","Marist","fcs","Pioneer","31","17,0,7,7","0.9672490358352661","","","2441","New Haven","fcs","NEC","14","0,7,0,7","0.03275096416473389","","","4.075129061217536","",""
"2025","1","regular","2025-08-29T23:30:00.000Z","false","true","2305","Kansas","fbs","Big 12","46","14,15,10,7","0.9886996150016785","1633","1633","2681","Wagner","fcs","NEC","7","0,7,0,0","0.011300384998321533","","","2.6144160037316513","",""
"2025","1","regular","2025-08-29T23:30:00.000Z","false","true","356","Illinois","fbs","Big Ten","52","14,17,7,14","0.9946691989898682","1578","1578","2710","Western Illinois","fcs","Big South-OVC","3","0,0,0,3","0.005330801010131836","","","2.8018660135329183","",""
