rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
248,84,Elon,fcs,Coastal Athletic,17.556386,3,1,0,6.479669
249,24,Minnesota Duluth,ii,Northern Sun,17.476537,3,1,0,12.281357
250,85,Sacred Heart,fcs,Coastal Athletic,17.291408,0,3,0,32.296661
251,25,IU Pennsylvania,ii,Pennsylvania State Athletic,17.15259,3,0,0,8.402579
252,86,Brown,fcs,Ivy,17.12286,1,0,0,7.372256
253,87,UT Martin,fcs,OVC,17.113869,1,3,0,27.006571
254,26,Emporia State,ii,Mid America,16.813255,4,0,0,3.917556
255,27,Oklahoma Baptist,ii,Great American,16.63898,2,1,0,13.056361
256,28,North Greenville,ii,Carolinas,16.589285,3,0,0,6.173457
257,29,Northern State,ii,Northern Sun,16.385058,3,1,0,2.760558
258,88,Northern Colorado,fcs,Big Sky,16.356738,1,3,0,22.456869
259,30,Edward Waters,ii,SIAC,16.205611,3,1,0,7.765781
260,31,Hillsdale,ii,Great Midwest Athletic,16.043657,2,1,0,-2.539276
261,89,Utah Tech,fcs,Big Sky,16.011303,0,4,0,40.485667
262,32,Arkansas Monticello,ii,Great American,15.979336,0,3,0,27.062658
263,33,Lenoir Rhyne,ii,South Atlantic,15.896539,2,2,0,12.025473
264,90,Weber State,fcs,Big Sky,15.689189,2,2,0,16.803694
265,34,Johnson C. Smith,ii,CIAA,15.597638,3,1,0,7.563704
266,35,Shorter,ii,Carolinas,15.08712,1,2,0,10.229625
267,36,West Alabama,ii,Gulf South,14.950285,3,1,0,10.807995
268,91,Bucknell,fcs,Patriot,14.946428,1,3,0,22.321838
269,92,Southern Utah,fcs,Big Sky,14.85723,1,3,0,24.293459
270,93,San Diego,fcs,Pioneer,14.799586,1,2,0,33.413037
271,37,Carson Newman,ii,South Atlantic,14.591962,4,0,0,-3.133776
272,38,Clarion,ii,Pennsylvania State Athletic,14.582623,2,1,0,4.900172
273,94,Maine,fcs,Coastal Athletic,14.247366,1,3,0,25.37003
274,39,Saginaw Valley State,ii,GLIAC,13.924647,2,2,0,6.340852
275,95,Merrimack,fcs,FCS Independents,13.84377,1,3,0,32.688363
276,96,Murray State,fcs,MVFC,13.536185,1,3,0,28.929781
277,97,Hampton,fcs,Coastal Athletic,13.377624,1,3,0,26.4136
278,3,Endicott,iii,Commonwealth Coast,13.292291,3,0,0,-2.457721
279,40,Walsh,ii,Great Midwest Athletic,13.150727,3,0,0,1.111203
280,98,Holy Cross,fcs,Patriot,13.079941,0,4,0,37.841512
281,41,Virginia State,ii,CIAA,12.911258,3,1,0,0.928434
282,42,Augustana (SD),ii,Northern Sun,12.664423,3,1,0,4.801377
283,99,Lafayette,fcs,Patriot,12.663612,1,2,0,23.580197
284,100,Towson,fcs,Coastal Athletic,12.579954,0,4,0,33.212227
285,101,St. Thomas (MN),fcs,Pioneer,12.574894,3,1,0,9.199634
286,43,Ashland,ii,Great Midwest Athletic,12.386894,1,2,0,13.077896
287,44,Fayetteville State,ii,CIAA,12.313275,2,2,0,16.813363
288,45,Washburn,ii,Mid America,12.197824,2,1,1,10.719803
289,4,Baldwin Wallace,iii,Ohio,11.893199,2,0,0,-17.355428
290,46,Colorado School of Mines,ii,Rocky Mountain,11.787105,1,2,1,13.178234
291,47,Newberry,ii,South Atlantic,11.551495,2,1,0,2.63478
292,102,Arkansas-Pine Bluff,fcs,SWAC,11.457264,2,2,0,12.102818
293,103,Mercyhurst,fcs,NEC,11.429478,1,3,0,26.619611
294,2,Rocky Mountain,unknown,Independent,11.336554,1,0,0,-4.413475
295,5,Trinity (CT),iii,NESCAC,11.320944,1,0,0,-11.429044
296,48,California (PA),ii,Pennsylvania State Athletic,11.316883,2,1,0,1.954886
297,49,Northeastern State,ii,Independent DII,11.221133,3,1,0,-2.141641
298,50,Wingate,ii,South Atlantic,11.206284,1,3,0,10.024138
299,6,Mary Hardin Baylor,iii,American Southwest,10.937363,2,1,0,-4.254044
300,51,Western Oregon,ii,Lone Star,10.835079,2,1,0,3.189743
301,104,Butler,fcs,Pioneer,10.788392,3,1,0,1.678462
302,7,Brevard,iii,USA South,10.597457,2,0,0,-11.142426
303,105,Alcorn State,fcs,SWAC,10.58267,2,2,0,15.098383
304,106,Eastern Kentucky,fcs,UAC,10.488283,1,3,0,24.601601
305,107,Dayton,fcs,Pioneer,9.554997,3,0,0,-9.335896
306,52,Frostburg State,ii,Mountain East,9.36117,1,2,0,12.793241
307,108,Long Island University,fcs,NEC,9.276021,0,4,0,30.963454
308,109,Lindenwood,fcs,OVC,9.123868,1,2,0,19.919514
309,110,VMI,fcs,Southern,9.097082,0,4,0,28.535966
310,8,Wisconsin La Crosse,iii,Wisconsin,9.080222,1,2,0,4.66125
311,53,Davenport,ii,GLIAC,8.817882,4,0,0,-9.27952
312,54,Anderson (SC),ii,South Atlantic,8.632275,3,1,0,3.507258
313,55,Catawba,ii,South Atlantic,8.354736,2,2,0,5.671561
314,9,Trinity (TX),iii,Southern Athletic,8.194974,3,0,0,-12.555037
315,56,Tiffin,ii,Great Midwest Athletic,8.162159,2,1,0,-9.028172
316,111,North Carolina Central,fcs,MEAC,8.100792,2,2,0,10.015052
317,112,Texas Southern,fcs,SWAC,7.982613,1,2,0,23.648453
318,57,West Liberty,ii,Mountain East,7.926142,3,1,0,-0.448197
319,58,Fort Valley State,ii,SIAC,7.8212,1,2,0,8.405248
320,59,Wayne State (NE),ii,Northern Sun,7.691012,3,1,0,-0.834073
321,3,Florida Memorial University,unknown,Independent,7.44593,1,1,0,10.948426
322,60,Arkansas Tech,ii,Great American,7.416446,2,1,0,8.499438
323,113,New Haven,fcs,NEC,7.372256,1,3,0,21.636455
324,61,Lock Haven,ii,Pennsylvania State Athletic,6.976586,1,2,0,12.559907
325,62,West Chester,ii,Pennsylvania State Athletic,6.961487,2,1,0,-1.287856
326,63,Tuskegee,ii,SIAC,6.809794,1,2,0,19.840947
327,114,Marist,fcs,Pioneer,6.730379,1,2,0,5.972192
328,64,Assumption,ii,Northeast 10,6.546037,1,2,0,13.796365
329,115,North Carolina A&T,fcs,Coastal Athletic,6.423357,0,4,0,27.475043
330,10,Chapman,iii,So. Cal.,6.303414,1,1,0,14.804492
331,116,Duquesne,fcs,NEC,6.031179,0,3,0,36.532906
332,65,Michigan Tech,ii,GLIAC,5.916868,3,1,0,1.862055
333,66,Shippensburg,ii,Pennsylvania State Athletic,5.859355,1,2,0,6.948614
334,67,East Stroudsburg,ii,Pennsylvania State Athletic,5.833808,2,1,0,6.917129
335,68,Allen,ii,SIAC,5.691242,3,1,0,-6.517135
336,11,SUNY Cortland,iii,Empire 8,5.036371,3,0,0,-18.771951
337,69,Albany State,ii,SIAC,4.750779,1,3,0,7.845524
338,12,Saint John's (MN),iii,Minnesota,4.740528,2,0,0,-12.500446
339,70,Minot State,ii,Northern Sun,4.674554,1,3,0,3.550014
340,13,Linfield,iii,Northwest,4.654764,1,1,0,-6.332594
341,117,The Citadel,fcs,Southern,4.625932,1,2,0,14.958517
342,71,Winona State,ii,Northern Sun,4.576298,1,3,0,4.951667
343,118,Stetson,fcs,Pioneer,4.557722,1,3,0,19.372305
344,72,Southwestern Oklahoma State,ii,Great American,4.512828,0,3,0,18.928927
345,73,Bentley,ii,Northeast 10,4.422115,2,1,0,-5.827365
346,74,Southern Nazarene,ii,Great American,4.28995,0,3,0,22.040219
347,4,Georgetown College Kentucky,unknown,Independent,4.038422,0,1,0,10.788392
348,75,Virginia Union,ii,CIAA,3.969054,3,1,0,-8.156124
349,76,Pittsburg State,ii,Mid America,3.936364,0,4,0,23.136064
350,77,Southern Connecticut State,ii,Northeast 10,3.718312,1,1,0,9.380401
351,78,West Virginia State,ii,Mountain East,3.714242,1,2,0,3.729355
352,79,Central Oklahoma,ii,Mid America,3.131478,1,2,0,4.308989
353,80,Southern Arkansas,ii,Great American,3.120918,1,2,0,17.370344
354,119,West Georgia,fcs,UAC,2.877513,0,4,0,25.583239
355,81,UT Permian Basin,ii,Lone Star,2.74935,2,1,0,-7.797916
356,82,Truman State,ii,Great Lakes,2.549759,1,3,0,3.341297
357,120,Valparaiso,fcs,Pioneer,1.861809,1,2,0,4.112222
358,83,Colorado Mesa,ii,Rocky Mountain,1.8041,2,2,0,5.144241
359,84,Emory & Henry,ii,South Atlantic,1.745017,1,3,0,6.558375
360,121,Charleston Southern,fcs,OVC,1.693672,2,2,0,1.304621
361,85,Angelo State,ii,Lone Star,1.693123,0,3,0,15.426817
362,86,Bemidji State,ii,Northern Sun,1.270485,1,3,0,1.145829
363,87,Chadron State,ii,Rocky Mountain,1.173011,1,3,0,19.843737
364,5,Louisiana Christian,unknown,Independent,1.157359,1,1,0,8.157342
365,88,Nebraska Kearney,ii,Mid America,1.14244,0,3,0,8.559093
366,14,Amherst,iii,NESCAC,1.102868,1,0,0,-11.647382
367,89,Findlay,ii,Great Midwest Athletic,0.662177,3,0,0,-24.236379
368,90,Lake Erie,ii,Great Midwest Athletic,0.623555,2,1,0,-7.344436
369,91,Bloomsburg,ii,Pennsylvania State Athletic,0.528227,2,1,0,-8.464721
370,92,Central State,ii,SIAC,0.461458,1,3,0,8.759683
371,93,Tusculum,ii,South Atlantic,0.371171,2,2,0,1.62116
372,122,Morehead State,fcs,Pioneer,0.242249,1,3,0,9.44921
373,94,West Texas,ii,Lone Star,0.165032,1,2,0,16.39958
374,15,North Central College,iii,CCIW,0.103081,3,0,0,-22.227604
375,6,Warner,unknown,Independent,0.036739,0,1,0,30.78671
376,16,Hope,iii,Michigan,-0.374265,3,0,0,-22.790944
377,95,Minnesota St Moorhead,ii,Northern Sun,-0.524856,2,2,0,-4.274868
378,96,Texas A&M-Kingsville,ii,Lone Star,-0.718398,1,2,0,5.621474
379,7,Keiser (Fl),unknown,Independent,-1.117696,0,1,0,8.632275
380,97,Sioux Falls,ii,Northern Sun,-1.124758,3,1,0,-10.49987
381,98,Northwestern (OK),ii,Great American,-1.337479,0,3,0,18.412509
382,99,Pace,ii,Northeast 10,-1.423835,1,2,0,-4.299252
383,17,Eastern,iii,Mid Atlantic,-1.445721,2,1,0,-10.3624
384,100,American International,ii,Northeast 10,-1.631393,2,1,0,-4.860901
385,101,Shaw,ii,CIAA,-1.685402,3,1,0,-9.521815
386,18,Williams,iii,NESCAC,-1.69694,1,0,0,-14.447399
387,102,Miles,ii,SIAC,-1.981951,1,3,0,10.893037
388,103,Seton Hill,ii,Pennsylvania State Athletic,-2.018473,1,2,0,-0.56932
389,104,Franklin Pierce,ii,Northeast 10,-2.119291,1,1,0,-11.618784
390,105,Missouri Western,ii,Mid America,-2.420726,1,2,0,5.845467
391,106,Roosevelt,ii,GLIAC,-2.691225,4,0,0,-18.810248
392,19,Susquehanna,iii,Landmark Conference,-2.745469,3,0,0,-24.812102
393,107,Gannon,ii,Pennsylvania State Athletic,-3.20267,0,3,0,11.084551
394,20,Mount St Joseph,iii,Heartland,-3.205828,3,0,0,-27.983634
395,123,Davidson,fcs,Pioneer,-3.216909,2,2,0,1.285967
396,108,West Virginia Wesleyan,ii,Mountain East,-3.283335,2,2,0,0.467502
397,8,Elgin,unknown,Independent,-3.351122,0,1,0,27.398848
398,109,Edinboro,ii,Pennsylvania State Athletic,-3.359334,2,1,0,0.723988
399,21,Middlebury,iii,NESCAC,-3.578985,0,1,0,21.171027
400,22,Tufts,iii,NESCAC,-4.122446,1,0,0,-20.871873
401,23,Wisconsin Platteville,iii,Wisconsin,-4.3233,3,0,0,-33.37968
402,110,University of Mary,ii,Northern Sun,-4.413475,1,3,0,7.96172
403,9,Oklahoma Panhandle,unknown,Independent,-4.511053,1,1,0,0.488932
404,124,Presbyterian,fcs,Pioneer,-4.726918,1,2,0,11.522094
405,111,Charleston (WV),ii,Mountain East,-4.784649,1,3,0,11.885137
406,112,Midwestern State,ii,Lone Star,-4.821398,2,1,0,-10.825556
407,10,Northwestern (IA),unknown,Independent,-4.904453,0,1,0,25.845517
408,113,Wheeling,ii,Mountain East,-5.216089,2,2,0,-6.180423
409,114,Erskine,ii,Carolinas,-5.233599,1,1,0,-7.243746
410,115,Ohio Dominican,ii,Great Midwest Athletic,-5.317752,1,2,0,3.089936
411,116,South Dakota Mines,ii,Rocky Mountain,-5.320266,3,1,0,-18.278296
412,117,Elizabeth City State,ii,CIAA,-5.391278,0,3,0,9.611083
413,11,Arkansas Baptist,unknown,Independent,-5.477409,0,1,0,25.272562
414,24,Wisconsin River Falls,iii,Wisconsin,-5.679785,3,0,0,-32.76313
415,118,Upper Iowa,ii,Great Lakes,-5.814124,1,2,0,-9.234841
416,25,Heidelberg,iii,Ohio,-5.899301,3,0,0,-27.648744
417,12,Wayland Baptist,unknown,Independent,-5.913252,1,0,0,-22.66054
418,119,Bowie State,ii,CIAA,-6.267329,0,3,0,20.149732
419,120,Concordia St. Paul,ii,Northern Sun,-6.626472,2,2,0,-6.518307
420,26,Utica,iii,Empire 8,-6.888783,3,0,0,-25.002612
421,27,Calvin,iii,Michigan,-6.937731,3,0,0,-37.687743
422,121,Missouri Southern State,ii,Mid America,-6.991569,1,2,0,4.925116
423,125,Northwestern State,fcs,Southland,-7.227084,0,4,0,16.457802
424,122,Concord,ii,Mountain East,-7.764469,2,1,0,-11.014483
425,28,Wheaton (IL),iii,CCIW,-7.980294,3,0,0,-29.730306
426,29,Misericordia,iii,Mid Atlantic,-8.326142,2,1,0,-17.908855
427,30,Case Western Reserve,iii,Presidents',-8.432811,2,0,0,-23.681572
428,31,Wisconsin Eau Claire,iii,Wisconsin,-8.486511,3,0,0,-29.006902
429,123,Delta State,ii,Gulf South,-8.601411,1,3,0,8.716218
430,126,Drake,fcs,Pioneer,-8.73715,0,3,0,13.711062
431,32,Mount Union,iii,Ohio,-9.214514,1,2,0,-8.572884
432,13,Bethel University Tennessee,unknown,Independent,-9.26995,1,0,0,-25.018213
433,33,Wisconsin Whitewater,iii,Wisconsin,-9.309983,2,0,0,-40.059998
434,34,Salisbury,iii,New Jersey,-10.171127,2,0,0,-40.921166
435,14,Virginia Lynchburg,unknown,Independent,-10.229807,0,3,0,20.161523
436,124,Chowan,ii,Carolinas,-10.232112,2,2,0,-6.881709
437,125,Black Hills State,ii,Rocky Mountain,-10.431326,3,1,0,-20.807047
438,126,Clark Atlanta,ii,SIAC,-10.472338,1,3,0,5.399879
439,127,Winston-Salem State,ii,CIAA,-10.606465,0,4,0,11.340402
440,128,New Mexico Highlands,ii,Rocky Mountain,-10.750948,3,1,0,-19.091259
441,129,Savannah State,ii,SIAC,-11.152211,0,3,0,18.597775
442,127,Mississippi Valley State,fcs,SWAC,-11.306173,1,3,0,4.804389
443,35,Colby,iii,NESCAC,-11.429044,0,1,0,11.320944
444,36,McMurry,iii,American Southwest,-11.501832,2,1,0,-19.751413
445,37,Adrian,iii,Michigan,-11.578839,2,1,0,-20.495543
446,38,Bates,iii,NESCAC,-11.647382,0,1,0,1.102868
