"Id","Season","Week","SeasonType","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"401783361","2025","2","regular","true","Merchant Marine Academy","29","Montclair State","15"
"401777236","2025","2","regular","true","Randolph-Macon","48","Dickinson (PA)","34"
"401777027","2025","2","regular","true","Thiel","8","Concordia-Wisconsin","27"
"401774147","2025","2","regular","true","St. Lawrence","19","Norwich","3"
"401777995","2025","2","regular","true","Muhlenberg","38","Moravian","19"
"401773295","2025","2","regular","true","Alfred University","28","Hobart College","23"
"401777731","2025","2","regular","true","Catholic","10","McDaniel College","7"
"401774081","2025","2","regular","true","Gettysburg","30","Juniata College","31"
"401754528","2025","2","regular","true","Louisville","28","James Madison","14"
"401788913","2025","2","regular","true","Mass Maritime","14","SUNY Maritime","21"
"401777002","2025","2","regular","true","Fitchburg State","49","Dean College","14"
"401783282","2025","2","regular","true","Reading","17","Ursinus","41"
"401752817","2025","2","regular","true","Northwestern","42","Western Illinois","7"
"401752826","2025","2","regular","true","Maryland","20","Northern Illinois","9"
"401760363","2025","2","regular","true","Boise State","51","Eastern Washington","14"
"401773535","2025","2","regular","true","Angelo State","41","Emporia State University","20"
"401754525","2025","2","regular","true","SMU","45","Baylor","48"
"401776993","2025","2","regular","true","Endicott College","31","Misericordia","21"
"401774036","2025","2","regular","true","FDU-Florham","0","St John Fisher University","21"
"401774057","2025","2","regular","true","Washington & Jefferson","31","Utica","49"
"401773276","2025","2","regular","true","Eastern University","46","Anna Maria College","7"
"401773479","2025","2","regular","true","Northwood (MI)","23","Northern Michigan","18"
"401777227","2025","2","regular","true","Delaware Valley","9","Hampden-Sydney","38"
"401752812","2025","2","regular","true","Indiana","56","Kennesaw State","9"
"401767658","2025","2","regular","true","Lehigh","28","Sacred Heart","10"
"401754524","2025","2","regular","true","NC State","35","Virginia","31"
"401767750","2025","2","regular","true","Duquesne","55","Lincoln (PA)","14"
"401756885","2025","2","regular","true","Texas Tech","62","Kent State","14"
"401752822","2025","2","regular","true","Iowa State","16","Iowa","13"
"401752693","2025","2","regular","true","Texas","38","San José State","7"
"401754529","2025","2","regular","true","Pittsburgh","45","Central Michigan","17"
"401777019","2025","2","regular","true","Concordia University Chicago","17","Minnesota Morris","16"
"401777774","2025","2","regular","true","MIT","46","Nichols College","13"
"401777095","2025","2","regular","true","Otterbein","28","Ohio Wesleyan","65"
"401773087","2025","2","regular","true","Johnson C Smith","28","Valdosta State","16"
"401773232","2025","2","regular","true","Findlay","38","Indianapolis","35"
"401774299","2025","2","regular","true","Framingham State","13","Husson","40"
"401774044","2025","2","regular","true","Cortland","14","Grove City College","31"
"401754621","2025","2","regular","true","Florida State","77","East Texas A&M","3"
"401754618","2025","2","regular","true","Syracuse","27","UConn","20"
"401752825","2025","2","regular","true","Duke","19","Illinois","45"
"401752813","2025","2","regular","true","Minnesota","66","Northwestern State","0"
"401767741","2025","2","regular","true","Central Connecticut","34","American International","7"
"401779511","2025","2","regular","true","Mercyhurst","48","New Haven","14"
"401774091","2025","2","regular","true","Susquehanna","33","Union (NY)","14"
"401776805","2025","2","regular","true","University of Rochester (NY)","38","Olivet College","17"
"401778013","2025","2","regular","true","Salve Regina","34","UMass Dartmouth","13"
"401777767","2025","2","regular","true","New England College","21","Plymouth State","49"
"401773104","2025","2","regular","true","West Virginia State","28","Wilson","14"
"401777976","2025","2","regular","true","Bentley","13","West Chester","30"
"401776793","2025","2","regular","true","Oberlin","6","Calvin University","88"
"401776968","2025","2","regular","true","Hartwick","56","Maine Maritime","7"
"401752811","2025","2","regular","true","Penn State","34","Florida International","0"
"401757227","2025","2","regular","true","Jacksonville State","34","Liberty","24"
"401767612","2025","2","regular","true","Dayton","38","Thomas More College","0"
"401752694","2025","2","regular","true","Texas A&M","44","Utah State","22"
"401767626","2025","2","regular","true","Marist","23","Bucknell","34"
"401766652","2025","2","regular","true","Lawrence University","14","Martin Luther","33"
"401773266","2025","2","regular","true","Anderson (IN)","7","Alfred State","6"
"401774130","2025","2","regular","true","Westfield State","12","Castleton","16"
"401773304","2025","2","regular","true","Saint Vincent","28","Hilbert College","7"
"401773242","2025","2","regular","true","McKendree","17","Hillsdale","22"
"401788304","2025","2","regular","true","Anderson (Sc)","35","ERSKINE","7"
"401776787","2025","2","regular","true","Wisconsin-River Falls","45","Alma","33"
"401774120","2025","2","regular","true","Christopher Newport","38","Trine University","7"
"401767231","2025","2","regular","true","Tennessee Tech","45","Chattanooga","17"
"401769891","2025","2","regular","true","Butler","37","Truman State","27"
"401767332","2025","2","regular","true","Delaware State","37","UAlbany","32"
"401774235","2025","2","regular","true","Hendrix College","14","Maryville College (TN)","40"
"401774227","2025","2","regular","true","Shenandoah","25","Methodist","6"
"401766644","2025","2","regular","true","Chicago","0","Carnegie Mellon","20"
"401777274","2025","2","regular","true","Widener","44","Geneva","18"
"401769067","2025","2","regular","true","Merrimack","31","St. Anselm","6"
"401767719","2025","2","regular","true","Georgetown","31","Wagner","20"
"401767172","2025","2","regular","true","Indiana State","38","Eastern Illinois","14"
"401777197","2025","2","regular","true","Waynesburg","14","John Carroll University","48"
"401773658","2025","2","regular","true","Bluefield State","38","Concord University","31"
"401774208","2025","2","regular","true","Southern Virginia","27","Apprentice School","6"
"401774072","2025","2","regular","true","Ithaca College","14","Johns Hopkins University","42"
"401773927","2025","2","regular","true","Emory & Henry College","35","Catawba","7"
"401777266","2025","2","regular","true","Rowan","17","Case Western Reserve","17"
"401774421","2025","2","regular","true","Manchester","14","Westminster College (MO)","21"
"401774280","2025","2","regular","true","Bethany (WV)","6","Sewanee","41"
"401777249","2025","2","regular","true","Washington and Lee","21","Salisbury","42"
"401774051","2025","2","regular","true","Kean","17","SUNY Morrisville","14"
"401767771","2025","2","regular","true","Stonehill","26","Lafayette","42"
"401783301","2025","2","regular","true","Western New England","32","Springfield","38"
"401773114","2025","2","regular","true","Chowan","28","West Alabama","38"
"401773497","2025","2","regular","true","Kentucky Wesleyan","7","West Florida","28"
"401773692","2025","2","regular","true","West Liberty","21","Seton Hill","42"
"401773028","2025","2","regular","true","Shippensburg","7","Bowie State","23"
"401776976","2025","2","regular","true","Biddeford","56","Coast Guard","49"
"401774320","2025","2","regular","true","Lycoming","24","College Of New Jersey","27"
"401774245","2025","2","regular","true","Brevard College","20","Kentucky Christian","41"
"401774407","2025","2","regular","true","Franklin","27","Ohio Northern","20"
"401774395","2025","2","regular","true","University of Mount Union","37","Wheaton","29"
"401767587","2025","2","regular","true","VMI","42","Ferrum","7"
"401776761","2025","2","regular","true","Hamline University","28","Crown College","21"
"401776743","2025","2","regular","true","St. Olaf","32","Northwestern (MN)","7"
"401774188","2025","2","regular","true","Wisconsin-Stevens Pt","28","Albion","21"
"401766645","2025","2","regular","true","Grinnell","15","Macalester","20"
"401773155","2025","2","regular","true","Benedictine University","35","Buena Vista","0"
"401774182","2025","2","regular","true","Aurora","0","Wisconsin-Platteville","41"
"401773432","2025","2","regular","true","Roosevelt","23","Quincy","21"
"401773489","2025","2","regular","true","Saginaw Valley State","49","Gannon","28"
"401773751","2025","2","regular","true","Minnesota State Mankato","34","Minot State","16"
"401773179","2025","2","regular","true","Loras College","0","Hope College","62"
"401776735","2025","2","regular","true","Wisconsin-Lutheran","27","St. Scholastica","41"
"401773185","2025","2","regular","true","Luther","3","Millikin","33"
"401766646","2025","2","regular","true","Rockford","19","Beloit","15"
"401773172","2025","2","regular","true","Wisconsin-Stout","38","Dubuque","35"
"401777049","2025","2","regular","true","Allegheny","24","Denison University","35"
"401774197","2025","2","regular","true","Wisconsin-Whitewater","45","Carleton","14"
"401777953","2025","2","regular","true","Lake Erie","6","Ferris State","63"
"401773972","2025","2","regular","true","Kentucky State","21","Albany State GA","49"
"401773035","2025","2","regular","true","Illinois Wesleyan","18","Central College","27"
"401773732","2025","2","regular","true","Winona State","21","Bemidji State","17"
"401767550","2025","2","regular","true","Youngstown State","56","Robert Morris","17"
"401773640","2025","2","regular","true","Washburn","7","Northwest Missouri St","34"
