HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
Fordham,Holy Cross,26.0,21.0,5.0,-33.0,Holy Cross -33.0,Wrong
Bowie State,Winston-Salem,21.0,28.0,-7.0,-10.0,Winston-Salem -10.0,Correct
Wilmington (OH),Ohio Northern,35.0,41.0,-6.0,-6.0,Ohio Northern -6.0,Correct
James Madison,Georgia Southern,35.0,10.0,25.0,15.5,James Madison -15.5,Correct
Capital,Marietta,21.0,24.0,-3.0,-6.0,Marietta -6.0,Correct
Anna Maria College,UMass Dartmouth,47.0,43.0,4.0,-13.5,UMass Dartmouth -13.5,Wrong
West Virginia State,Fairmont State,60.0,39.0,21.0,-3.0,Fairmont State -3.0,Wrong
Williams,Trinity (CT),28.0,34.0,-6.0,20.5,Williams -20.5,Wrong
Baldwin Wallace,University of Mount Union,23.0,42.0,-19.0,-19.5,University of Mount Union -19.5,Correct
Catholic,Salisbury,6.0,55.0,-49.0,-55.5,Salisbury -55.5,Correct
Wheaton,Carroll University (WI),61.0,13.0,48.0,38.5,Wheaton -38.5,Correct
Carthage,Illinois Wesleyan,10.0,34.0,-24.0,-6.0,Illinois Wesleyan -6.0,Correct
Washington University (St. Louis),North Central College,14.0,44.0,-30.0,-14.0,North Central College -14.0,Correct
Otterbein,Muskingum University,13.0,37.0,-24.0,-35.0,Muskingum University -35.0,Correct
Wayne State (NE),Southwest Minnesota State,51.0,6.0,45.0,43.5,Wayne State (NE) -43.5,Correct
Hamline University,Bethel (MN),12.0,62.0,-50.0,-39.0,Bethel (MN) -39.0,Correct
Saint John's (MN),Augsburg,63.0,0.0,63.0,33.0,Saint John's (MN) -33.0,Correct
Elon,Hampton,41.0,20.0,21.0,28.0,Elon -28.0,Correct
Johnson C Smith,Bluefield State,69.0,13.0,56.0,22.0,Johnson C Smith -22.0,Correct
Nebraska Wesleyan,Luther,44.0,7.0,37.0,12.0,Nebraska Wesleyan -12.0,Correct
Emporia State University,Pittsburg St,29.0,42.0,-13.0,-14.5,Pittsburg St -14.5,Correct
Buena Vista,Simpson College (IA),0.0,41.0,-41.0,-32.0,Simpson College (IA) -32.0,Correct
Austin Peay,Utah Tech,42.0,10.0,32.0,16.5,Austin Peay -16.5,Correct
Wabash College,Denison University,36.0,0.0,36.0,34.0,Wabash College -34.0,Correct
Rockford,Lakeland,7.0,35.0,-28.0,-27.0,Lakeland -27.0,Correct
Concordia-Wisconsin,Benedictine University,28.0,20.0,8.0,-28.0,Benedictine University -28.0,Wrong
Concordia Moorhead,Gustavus Adolphus,14.0,13.0,1.0,28.5,Concordia Moorhead -28.5,Correct
