"Season","Week","SeasonType","StartDate","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Washburn","20","Truman State","17"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","UConn","59","Central Connecticut","13"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","West Virginia","45","Robert Morris","3"
"2025","1","regular","2025-08-30T18:30:00.000Z","true","Indiana","27","Old Dominion","14"
"2025","1","regular","2025-08-30T19:00:00.000Z","true","Louisville","51","Eastern Kentucky","17"
"2025","1","regular","2025-08-30T19:00:00.000Z","true","Northern Colorado","17","Chadron St","3"
"2025","1","regular","2025-08-30T19:00:00.000Z","true","Morehouse College","9","Johnson C Smith","45"
"2025","1","regular","2025-08-30T19:00:00.000Z","true","Jackson State","28","Hampton","14"
"2025","1","regular","2025-08-30T19:30:00.000Z","true","Georgia","45","Marshall","7"
"2025","1","regular","2025-08-30T19:30:00.000Z","true","Massachusetts","10","Temple","42"
"2025","1","regular","2025-08-30T19:30:00.000Z","true","Penn State","46","Nevada","11"
"2025","1","regular","2025-08-30T19:30:00.000Z","true","Northern Illinois","19","Holy Cross","17"
"2025","1","regular","2025-08-30T19:30:00.000Z","true","Florida State","31","Alabama","17"
"2025","1","regular","2025-08-30T19:30:00.000Z","true","Iowa State","55","South Dakota","7"
"2025","1","regular","2025-08-30T19:30:00.000Z","true","Air Force","49","Bucknell","13"
"2025","1","regular","2025-08-30T20:00:00.000Z","true","Liberty","28","Maine","7"
"2025","1","regular","2025-08-30T20:00:00.000Z","true","Florida A&M","9","Howard","10"
"2025","1","regular","2025-08-30T20:00:00.000Z","true","Oregon","59","Montana State","13"
"2025","1","regular","2025-08-30T20:15:00.000Z","true","Arkansas","52","Alabama A&M","7"
"2025","1","regular","2025-08-30T20:30:00.000Z","true","Tennessee State","24","North Carolina A&T","21"
"2025","1","regular","2025-08-30T20:30:00.000Z","true","Memphis","45","Chattanooga","10"
"2025","1","regular","2025-08-30T21:00:00.000Z","true","Mississippi Valley State","29","Southern","34"
"2025","1","regular","2025-08-30T21:00:00.000Z","true","Pace","10","St. Anselm","34"
"2025","1","regular","2025-08-30T21:00:00.000Z","true","Benedict College","10","Fayetteville State","0"
"2025","1","regular","2025-08-30T21:30:00.000Z","true","East Tennessee State","45","Murray State","17"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Morehead State","38","Allen","31"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Iowa","34","UAlbany","7"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Virginia","48","Coastal Carolina","7"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","James Madison","45","Weber State","10"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Catawba","45","Ferrum","13"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Oklahoma","35","Illinois State","3"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Mercer","10","Presbyterian","15"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","South Carolina State","16","Wofford","15"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","North Carolina Central","10","New Hampshire","27"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Stetson","21","Webber International","31"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Chowan","28","Elizabeth City State","14"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Frostburg State","41","Shepherd","27"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Wingate","30","UNC Pembroke","21"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Savannah St","14","Edward Waters","41"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","Western Carolina","45","Gardner-Webb","52"
"2025","1","regular","2025-08-30T22:00:00.000Z","true","UVA Wise","29","Concord University","37"
"2025","1","regular","2025-08-30T22:15:00.000Z","true","West Alabama","27","Fort Valley State","17"
"2025","1","regular","2025-08-30T22:30:00.000Z","true","Lincoln (MO)","55","Lincoln (CA)","6"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Southern Illinois","49","Thomas More College","3"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Missouri S&T","51","Central Methodist","10"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","UT Permian Basin","34","Central Oklahoma","14"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Arkansas State","42","Southeast Missouri State","24"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Bluefield State","23","Greeneville","49"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Florida","55","Long Island University","0"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Texas A&M","42","UTSA","24"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","South Alabama","38","Morgan State","21"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Vanderbilt","45","Charleston Southern","3"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Western Kentucky","55","North Alabama","6"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Grambling","55","Langston University","7"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Kansas State","38","North Dakota","35"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Troy","38","Nicholls","20"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","South Dakota State","20","Sacramento State","3"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Middle Tennessee","14","Austin Peay","34"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","McNeese","54","Louisiana College","9"
"2025","1","regular","2025-08-30T23:00:00.000Z","true","Incarnate Word","31","Eastern Washington","21"
"2025","1","regular","2025-08-30T23:30:00.000Z","true","Clemson","10","LSU","17"
"2025","1","regular","2025-08-30T23:30:00.000Z","true","Texas Tech","67","Arkansas-Pine Bluff","7"
"2025","1","regular","2025-08-30T23:30:00.000Z","true","Louisiana Tech","24","SE Louisiana","0"
"2025","1","regular","2025-08-30T23:30:00.000Z","true","USC","73","Missouri State","13"
"2025","1","regular","2025-08-30T23:30:00.000Z","true","Michigan","34","New Mexico","17"
"2025","1","regular","2025-08-30T23:30:00.000Z","true","Utah State","28","UTEP","16"
"2025","1","regular","2025-08-30T23:45:00.000Z","true","Ole Miss","63","Georgia State","7"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","Western New Mexico","35","Adams State","21"
