HomeTeam,AwayTeam,Week,Line,Spread
Colby College,Bowdoin,11,Colby College -17.5,17.5
Montclair State,College Of New Jersey,11,College Of New Jersey -8.5,-8.5
Portland State,Sacramento State,11,Sacramento State -17.0,-17.0
Louisiana,Texas State,11,Texas State -3.5,-3.5
East Texas A&M,McNeese,11,East Texas A&M -11.0,11.0
Idaho State,Cal Poly,11,Cal Poly -3.5,-3.5
UT Rio Grande Valley,Nicholls,11,UT Rio Grande Valley -3.0,3.0
Catawba,Anderson (Sc),11,Catawba -4.5,4.5
Christopher Newport,Salisbury,11,Pick'em,0.0
Shenandoah,Gallaudet,11,Shenandoah -33.5,33.5
Northern Arizona,Northern Colorado,11,Northern Arizona -7.0,7.0
Wilson,ERSKINE,11,ERSKINE -1.0,-1.0
San José State,Air Force,11,San José State -4.0,4.0
East Stroudsburg University,Millersville,11,East Stroudsburg University -26.5,26.5
Shorter,North Greenville,11,North Greenville -15.5,-15.5
Idaho,UC Davis,11,UC Davis -9.5,-9.5
Louisville,California,11,Louisville -18.0,18.0
Angelo State,Western Oregon,11,Angelo State -5.5,5.5
Virginia,Wake Forest,11,Virginia -5.5,5.5
CENTENARY,Austin,11,Austin -4.0,-4.0
Clemson,Florida State,11,Florida State -5.5,-5.5
Kentucky,Florida,11,Florida -6.0,-6.0
Notre Dame,Navy,11,Notre Dame -25.0,25.0
Utah State,Nevada,11,Utah State -11.5,11.5
Alabama,LSU,11,Alabama -4.5,4.5
UT Permian Basin,Eastern New Mexico,11,UT Permian Basin -25.5,25.5
Texas A&M-Kingsville,Western New Mexico,11,Texas A&M-Kingsville -30.5,30.5
Sul Ross State,Central Washington,11,Central Washington -50.5,-50.5
Colorado State,UNLV,11,UNLV -7.5,-7.5
Pomona Pitzer,California Lutheran University,11,California Lutheran University -7.0,-7.0
Oregon State,Sam Houston,11,Oregon State -16.0,16.0
Redlands,Claremont-Mudd-Scripps College,11,Redlands -7.0,7.0
Hawai'i,San Diego State,11,San Diego State -10.5,-10.5
Akron,Kent State,12,Kent State -3.5,-3.5
Western Michigan,Ohio,12,Ohio -1.5,-1.5
Massachusetts,Northern Illinois,12,Northern Illinois -12.0,-12.0
Central Michigan,Buffalo,12,Central Michigan -4.5,4.5
Miami (OH),Toledo,12,Toledo -3.5,-3.5
Old Dominion,Troy,12,Old Dominion -8.0,8.0
North Carolina Central,South Carolina State,12,North Carolina Central -5.0,5.0
Salisbury,Castleton,12,Salisbury -55.0,55.0
College Of New Jersey,Christopher Newport,12,Christopher Newport -19.5,-19.5
MIT,Norwich,12,MIT -32.0,32.0
Louisville,Clemson,12,Louisville -9.0,9.0
Oregon,Minnesota,12,Oregon -20.5,20.5
Oklahoma State,Kansas State,12,Kansas State -21.0,-21.0
St. Francis (PA),Long Island University,12,Long Island University -17.0,-17.0
Florida State,Virginia Tech,12,Florida State -14.0,14.0
Miami,NC State,12,Miami -12.5,12.5
Pittsburgh,Notre Dame,12,Notre Dame -13.5,-13.5
Arizona State,West Virginia,12,Arizona State -14.5,14.5
Baylor,Utah,12,Utah -19.0,-19.0
